# 口調の例文テンプレート。役割区分・種族区分・性別・基底口調セルごとに、英語原文と日本語訳文を持つ。
# 列（タブ区切り、6 列）: role	species	sex	cell	英語原文	日本語訳文
# role: child / adult / elder。species: khajiit / default / *。各列の * は任意一致し、汎用台詞はcellを空にする。
# 同じ具体度の行は入力順ですべて使う。平明・ぞんざい・物腰やわは実験で採用した F1・F2・F3 の3例を持つ。
# 他の6セルは既存の1例を維持する。Khajiit以外は default を使う。
#
child	default	male	平明	I promised to return these books before sunset. Hold the door while I carry them inside.	僕は日が沈むまでにこれらの本を返すって約束した　中へ運ぶ間、扉を押さえてて
child	default	male	平明	Did you notice footsteps upstairs? Stay beside the wall until the hall is quiet.	上の階の足音、気づいた？　廊下が静かになるまで壁のそばにいて
child	default	male	平明	Leave the heavy box with him. Bring the sealed letter to me; I know where it must go.	重い箱はあの人に預けて　封をした手紙は僕に持ってきて　届ける場所は分かってる
child	khajiit	male	平明	I promised to return these books before sunset. Hold the door while I carry them inside.	この者は日が沈むまでにこれらの本を返すって約束した　中へ運ぶ間、扉を押さえてて
child	khajiit	male	平明	Did you notice footsteps upstairs? Stay beside the wall until the hall is quiet.	上の階の足音、気づいた？　廊下が静かになるまで壁のそばにいて
child	khajiit	male	平明	Leave the heavy box with him. Bring the sealed letter to me; I know where it must go.	重い箱はあの人に預けて　封をした手紙はこの者に持ってきて　届ける場所は分かってる
adult	default	male	平明	I promised to return these books before sunset. Hold the door while I carry them inside.	僕は日没までにこれらの本を返すと約束した　中へ運ぶ間、扉を押さえておいてくれ
adult	default	male	平明	Did you notice footsteps upstairs? Stay beside the wall until the hall is quiet.	上の階の足音に気づいたか？　廊下が静かになるまで壁のそばにいて
adult	default	male	平明	Leave the heavy box with him. Bring the sealed letter to me; I know where it must go.	重い箱は彼に預けて　封をした手紙は僕に持ってきてくれ　届け先は分かっている
adult	khajiit	male	平明	I promised to return these books before sunset. Hold the door while I carry them inside.	この者は日没までにこれらの本を返すと約束した　中へ運ぶ間、扉を押さえておいてくれ
adult	khajiit	male	平明	Did you notice footsteps upstairs? Stay beside the wall until the hall is quiet.	上の階の足音に気づいたか？　廊下が静かになるまで壁のそばにいて
adult	khajiit	male	平明	Leave the heavy box with him. Bring the sealed letter to me; I know where it must go.	重い箱は彼に預けて　封をした手紙はこの者に持ってきてくれ　届け先は分かっている
elder	default	male	平明	I promised to return these books before sunset. Hold the door while I carry them inside.	私は日暮れまでにこれらの本を返すと約束している　中へ運ぶ間、扉を押さえておいてくれ
